date,team.name,team.ID,opponent.name,opponent.ID,team.score,opponent.score,game.location,no.overtime
11/10/2017,Central Ark.  Sugar Bears,1004,Hendrix,1124,66,79,NA,NA
11/14/2017,Central Ark.  Sugar Bears,1004,@ Baylor,51,79,22,NA,NA
11/20/2017,Central Ark.  Sugar Bears,1004,Alcorn,17,55,86,NA,NA
11/30/2017,Central Ark.  Sugar Bears,1004,@ Tennessee,694,106,23,NA,NA
12/9/2017,Central Ark.  Sugar Bears,1004,@ Texas A&M,697,75,34,NA,NA
12/16/2017,Central Ark.  Sugar Bears,1004,@ South Alabama,646,61,72,NA,NA
12/20/2017,Central Ark.  Sugar Bears,1004,"Clemson <br/>@ Ocean Bank Convocation Center(Miami,Fla)",147,43,64,NA,NA
12/21/2017,Central Ark.  Sugar Bears,1004,"North Dakota St. <br/>@ Ocean Bank Convocation Center, Miami, FL",493,53,47,NA,NA
12/28/2017,Central Ark.  Sugar Bears,1004,@ A&M-Corpus Christi,26172,68,45,NA,NA
12/31/2017,Central Ark.  Sugar Bears,1004,Southeastern La.,655,58,50,NA,NA
1/3/2018,Central Ark.  Sugar Bears,1004,Sam Houston St.,624,63,47,NA,NA
1/6/2018,Central Ark.  Sugar Bears,1004,Lamar University,346,69,44,NA,NA
1/10/2018,Central Ark.  Sugar Bears,1004,@ Incarnate Word,2743,51,39,NA,NA
1/13/2018,Central Ark.  Sugar Bears,1004,@ Nicholls St.,483,57,35,NA,NA
1/17/2018,Central Ark.  Sugar Bears,1004,New Orleans,474,69,48,NA,NA
1/20/2018,Central Ark.  Sugar Bears,1004,Abilene Christian,2,48,52,NA,NA
1/24/2018,Central Ark.  Sugar Bears,1004,@ SFA,676,63,45,NA,NA
1/27/2018,Central Ark.  Sugar Bears,1004,@ Northwestern St.,508,46,59,NA,NA
2/3/2018,Central Ark.  Sugar Bears,1004,@ Southeastern La.,655,61,53,NA,NA
2/7/2018,Central Ark.  Sugar Bears,1004,Houston Baptist,287,70,78,NA,NA
2/14/2018,Central Ark.  Sugar Bears,1004,@ McNeese,402,64,56,NA,NA
2/17/2018,Central Ark.  Sugar Bears,1004,Nicholls St.,483,51,45,NA,NA
2/21/2018,Central Ark.  Sugar Bears,1004,SFA,676,60,42,NA,NA
2/24/2018,Central Ark.  Sugar Bears,1004,@ Abilene Christian,2,50,55,NA,NA
2/28/2018,Central Ark.  Sugar Bears,1004,@ Sam Houston St.,624,73,61,NA,NA
3/3/2018,Central Ark.  Sugar Bears,1004,Northwestern St.,508,73,53,NA,NA
3/9/2018,Central Ark.  Sugar Bears,1004,"Abilene Christian <br/>@ Katy, Texas (Merrell Center)",2,59,39,NA,NA
3/10/2018,Central Ark.  Sugar Bears,1004,"SFA <br/>@ Katy, Texas (Merrell Center)",676,54,41,NA,NA
3/15/2018,Central Ark.  Sugar Bears,1004,SIUE,660,60,70,NA,NA
3/19/2018,Central Ark.  Sugar Bears,1004,Weber St.,758,51,39,NA,NA
3/24/2018,Central Ark.  Sugar Bears,1004,Nevada,466,82,67,NA,NA
3/29/2018,Central Ark.  Sugar Bears,1004,Yale,813,65,56,NA,NA
11/10/2017,CSUN Matadors,101,@ Oregon,529,50,54,NA,NA
11/14/2017,CSUN Matadors,101,@ San Diego St.,626,43,91,NA,NA
11/17/2017,CSUN Matadors,101,@ New Orleans,474,55,58,NA,NA
11/18/2017,CSUN Matadors,101,"Milwaukee <br/>@ New Orleans, LA (Lakefront Arena)",797,73,76,NA,NA
11/24/2017,CSUN Matadors,101,Idaho,295,50,58,NA,NA
11/25/2017,CSUN Matadors,101,Arizona,29,75,80,NA,NA
11/30/2017,CSUN Matadors,101,Weber St.,758,66,63,NA,NA
12/2/2017,CSUN Matadors,101,Fresno St.,96,61,64,NA,NA
12/7/2017,CSUN Matadors,101,@ San Jose St.,630,85,72,NA,NA
12/9/2017,CSUN Matadors,101,@ Loyola Marymount,370,76,59,NA,NA
12/18/2017,CSUN Matadors,101,Northern Ariz.,501,75,68,NA,NA
12/20/2017,CSUN Matadors,101,Omaha,464,78,69,NA,NA
12/28/2017,CSUN Matadors,101,Biola,30220,60,68,NA,NA
12/30/2017,CSUN Matadors,101,Seattle U,1356,68,51,NA,NA
1/6/2018,CSUN Matadors,101,@ Cal St. Fullerton,97,67,62,NA,NA
1/11/2018,CSUN Matadors,101,UC Santa Barbara,104,70,68,NA,NA
1/13/2018,CSUN Matadors,101,@ Cal Poly,90,73,74,NA,NA
1/18/2018,CSUN Matadors,101,Cal St. Fullerton,97,71,84,NA,NA
1/20/2018,CSUN Matadors,101,UC Riverside,111,65,41,NA,NA
1/25/2018,CSUN Matadors,101,@ Hawaii,277,60,55,NA,NA
1/27/2018,CSUN Matadors,101,@ UC Irvine,109,70,58,NA,NA
1/31/2018,CSUN Matadors,101,@ UC Santa Barbara,104,47,56,NA,NA
2/3/2018,CSUN Matadors,101,UC Davis,108,48,30,NA,NA
2/8/2018,CSUN Matadors,101,Long Beach St.,99,75,71,NA,NA
2/10/2018,CSUN Matadors,101,@ UC Davis,108,51,59,NA,NA
2/15/2018,CSUN Matadors,101,@ UC Riverside,111,46,72,NA,NA
2/17/2018,CSUN Matadors,101,Cal Poly,90,58,69,NA,NA
2/22/2018,CSUN Matadors,101,Hawaii,277,86,66,NA,NA
3/1/2018,CSUN Matadors,101,UC Irvine,109,54,56,NA,NA
3/3/2018,CSUN Matadors,101,@ Long Beach St.,99,71,67,NA,NA
3/6/2018,CSUN Matadors,101,Hawaii <br/>@ Titan Gym,277,54,67,NA,NA
3/7/2018,CSUN Matadors,101,UC Santa Barbara <br/>@ Titan Gym,104,62,57,NA,NA
3/9/2018,CSUN Matadors,101,"Cal Poly <br/>@ Anaheim, CA",90,72,63,NA,NA
3/10/2018,CSUN Matadors,101,"UC Davis <br/>@ Anaheim, CA",108,73,50,NA,NA
3/16/2018,CSUN Matadors,101,@ Notre Dame,513,63,55,NA,NA
11/10/2017,Col. of Charleston Cougars,1014,Lipscomb,28600,81,99,NA,NA
11/12/2017,Col. of Charleston Cougars,1014,@ Furman,244,85,69,NA,NA
11/17/2017,Col. of Charleston Cougars,1014,@ Central Mich.,129,58,72,NA,NA
11/19/2017,Col. of Charleston Cougars,1014,@ Michigan St.,416,58,79,NA,NA
11/22/2017,Col. of Charleston Cougars,1014,Campbell,115,43,107,NA,NA
11/26/2017,Col. of Charleston Cougars,1014,Appalachian St.,27,45,53,NA,NA
11/30/2017,Col. of Charleston Cougars,1014,@ Coastal Caro.,149,70,76,NA,NA
12/5/2017,Col. of Charleston Cougars,1014,@ South Carolina,648,72,70,NA,NA
12/15/2017,Col. of Charleston Cougars,1014,@ North Florida,2711,43,69,NA,NA
12/18/2017,Col. of Charleston Cougars,1014,Wofford,2915,73,69,NA,NA
12/21/2017,Col. of Charleston Cougars,1014,Wake Forest,749,59,51,NA,NA
12/29/2017,Col. of Charleston Cougars,1014,William & Mary,786,40,77,NA,NA
12/31/2017,Col. of Charleston Cougars,1014,@ Towson,711,54,68,NA,NA
1/5/2018,Col. of Charleston Cougars,1014,Hofstra,283,80,67,NA,NA
1/7/2018,Col. of Charleston Cougars,1014,Delaware,180,60,75,NA,NA
1/12/2018,Col. of Charleston Cougars,1014,@ Northeastern,500,59,68,NA,NA
1/14/2018,Col. of Charleston Cougars,1014,@ Hofstra,283,37,59,NA,NA
1/19/2018,Col. of Charleston Cougars,1014,James Madison,317,60,65,NA,NA
1/21/2018,Col. of Charleston Cougars,1014,Towson,711,45,67,NA,NA
1/26/2018,Col. of Charleston Cougars,1014,@ William & Mary,786,58,83,NA,NA
1/28/2018,Col. of Charleston Cougars,1014,@ James Madison,317,66,79,NA,NA
2/2/2018,Col. of Charleston Cougars,1014,Elon,1068,53,67,NA,NA
2/4/2018,Col. of Charleston Cougars,1014,Drexel,191,55,77,NA,NA
2/9/2018,Col. of Charleston Cougars,1014,@ UNCW,460,53,80,NA,NA
2/11/2018,Col. of Charleston Cougars,1014,@ Elon,1068,72,63,NA,NA
2/18/2018,Col. of Charleston Cougars,1014,@ Delaware,180,44,97,NA,NA
2/23/2018,Col. of Charleston Cougars,1014,UNCW,460,51,79,NA,NA
2/25/2018,Col. of Charleston Cougars,1014,Northeastern,500,60,76,NA,NA
3/3/2018,Col. of Charleston Cougars,1014,@ Drexel,191,48,67,NA,NA
3/7/2018,Col. of Charleston Cougars,1014,"Hofstra <br/>@ Daskalakis Athletic Center, Philadelphia",283,57,71,NA,NA
3/8/2018,Col. of Charleston Cougars,1014,James Madison <br/>@ Daskalakis Athletic Center,317,88,72,NA,NA
11/10/2017,Sacramento St. Hornets,102,@ Kentucky,334,66,81,NA,NA
11/11/2017,Sacramento St. Hornets,102,@ Morehead St.,444,70,101,NA,NA
11/14/2017,Sacramento St. Hornets,102,@ West Virginia,768,71,75,NA,NA
11/18/2017,Sacramento St. Hornets,102,@ Arizona St.,28,47,101,NA,NA
11/24/2017,Sacramento St. Hornets,102,@ Nevada,466,58,106,NA,NA
11/26/2017,Sacramento St. Hornets,102,"UC Riverside <br/>@ Reno, Nev. | Lawlor Events Center",111,68,95,NA,NA
11/30/2017,Sacramento St. Hornets,102,@ UC Davis,108,99,72,NA,NA
12/15/2017,Sacramento St. Hornets,102,@ San Francisco,629,95,62,NA,NA
12/18/2017,Sacramento St. Hornets,102,"Miami (FL) <br/>@ Coliseo Ruben Zayas Montanez, P.R.",415,76,90,NA,NA
12/20/2017,Sacramento St. Hornets,102,"Northern Ill. <br/>@ Coliseo Ruben Zayas Montanez, PR",503,56,82,NA,NA
12/30/2017,Sacramento St. Hornets,102,@ Portland St.,550,75,84,NA,NA
1/4/2018,Sacramento St. Hornets,102,Idaho,295,73,74,NA,NA
1/6/2018,Sacramento St. Hornets,102,Eastern Wash.,207,79,64,NA,NA
1/11/2018,Sacramento St. Hornets,102,@ Montana,441,72,83,NA,NA
1/13/2018,Sacramento St. Hornets,102,@ Montana St.,440,59,68,NA,NA
1/18/2018,Sacramento St. Hornets,102,Weber St.,758,50,85,NA,NA
1/20/2018,Sacramento St. Hornets,102,Idaho St.,294,56,78,NA,NA
1/27/2018,Sacramento St. Hornets,102,Portland St.,550,71,85,NA,NA
2/1/2018,Sacramento St. Hornets,102,@ Eastern Wash.,207,72,81,NA,NA
2/3/2018,Sacramento St. Hornets,102,@ Idaho,295,76,83,NA,NA
2/8/2018,Sacramento St. Hornets,102,Montana St.,440,66,101,NA,NA
2/10/2018,Sacramento St. Hornets,102,Montana,441,88,77,NA,NA
2/15/2018,Sacramento St. Hornets,102,@ Idaho St.,294,79,64,NA,NA
2/17/2018,Sacramento St. Hornets,102,@ Weber St.,758,71,83,NA,NA
2/22/2018,Sacramento St. Hornets,102,Northern Ariz.,501,73,86,NA,NA
2/24/2018,Sacramento St. Hornets,102,Southern Utah,667,90,95,NA,NA
2/28/2018,Sacramento St. Hornets,102,@ North Dakota,494,79,77,NA,NA
3/2/2018,Sacramento St. Hornets,102,@ Northern Colo.,502,72,66,NA,NA
3/5/2018,Sacramento St. Hornets,102,"Montana <br/>@ Reno, Nev. (Reno Events Center)",441,68,90,NA,NA
11/10/2017,UC Santa Barbara Gauchos,104,@ Northern Ariz.,501,80,87,NA,NA
11/14/2017,UC Santa Barbara Gauchos,104,@ Santa Clara,631,96,93,NA,NA
11/17/2017,UC Santa Barbara Gauchos,104,Seattle U,1356,63,68,NA,NA
11/24/2017,UC Santa Barbara Gauchos,104,@ Saint Mary's (CA),610,71,77,NA,NA
11/25/2017,UC Santa Barbara Gauchos,104,"UAB <br/>@ Moraga, Calif.",9,59,89,NA,NA
11/27/2017,UC Santa Barbara Gauchos,104,San Diego,627,54,67,NA,NA
11/30/2017,UC Santa Barbara Gauchos,104,Fresno St.,96,58,71,NA,NA
12/3/2017,UC Santa Barbara Gauchos,104,@ UCLA,110,57,64,NA,NA
12/16/2017,UC Santa Barbara Gauchos,104,@ Oregon St.,528,44,74,NA,NA
12/18/2017,UC Santa Barbara Gauchos,104,@ Loyola Marymount,370,49,74,NA,NA
12/22/2017,UC Santa Barbara Gauchos,104,San Diego St.,626,61,67,NA,NA
12/29/2017,UC Santa Barbara Gauchos,104,@ New Mexico St.,472,77,64,NA,NA
1/4/2018,UC Santa Barbara Gauchos,104,Long Beach St.,99,77,47,NA,NA
1/6/2018,UC Santa Barbara Gauchos,104,Cal Poly,90,51,44,NA,NA
1/11/2018,UC Santa Barbara Gauchos,104,@ CSUN,101,73,68,NA,NA
1/13/2018,UC Santa Barbara Gauchos,104,@ UC Irvine,109,74,73,NA,NA
1/18/2018,UC Santa Barbara Gauchos,104,UC Davis,108,74,77,NA,NA
1/20/2018,UC Santa Barbara Gauchos,104,@ Long Beach St.,99,61,68,NA,NA
1/27/2018,UC Santa Barbara Gauchos,104,@ UC Davis,108,90,74,NA,NA
1/31/2018,UC Santa Barbara Gauchos,104,CSUN,101,63,69,NA,NA
2/3/2018,UC Santa Barbara Gauchos,104,Hawaii,277,30,48,NA,NA
2/8/2018,UC Santa Barbara Gauchos,104,@ UC Riverside,111,71,61,NA,NA
2/10/2018,UC Santa Barbara Gauchos,104,@ Cal St. Fullerton,97,76,84,NA,NA
2/15/2018,UC Santa Barbara Gauchos,104,Cal St. Fullerton,97,59,52,NA,NA
2/17/2018,UC Santa Barbara Gauchos,104,UC Irvine,109,78,59,NA,NA
2/21/2018,UC Santa Barbara Gauchos,104,@ Cal Poly,90,82,55,NA,NA
